Ranking,CompanyName,TaxPaid,Link,Industry,Type,TotalProfit,MarketCap,TotalRevenue,Full Earnings,Full Revenue
57,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BẠC LIÊU,"2165,10",https://cafef.vn/du-lieu//otc/XSBL-cong-ty-tnhh-mtv-xo-so-kien-thiet-bac-lieu.chn,Xổ số,SOE,,,0,False,False
58,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TIỀN GIANG,"2112,30",https://cafef.vn/du-lieu//otc/XSTG-cong-ty-tnhh-mtv-xo-so-kien-thiet-tien-giang.chn,Xổ số,SOE,,,0,False,False
59,Công ty TNHH MTV - Tổng Công ty Tân Cảng Sài Gòn,2100,https://cafef.vn/du-lieu//otc/SNP-cong-ty-tnhh-mtv-tong-cong-ty-tan-cang-sai-gon.chn,Logistics,SOE,,,0,False,False
60,Xổ số kiến thiết tỉnh Trà Vinh,"2098,60",https://cafef.vn/du-lieu//otc/XSTV-xo-so-kien-thiet-tinh-tra-vinh.chn,Xổ số,SOE,,,0,False,False
61,Công ty TNHH MTV Xổ số kiến thiết Cà Mau,"2096,70",https://cafef.vn/du-lieu//otc/XSCM-cong-ty-tnhh-mtv-xo-so-kien-thiet-ca-mau.chn,Xổ số,SOE,,,0,False,False
62,CTCP Đầu tư Bất động sản Taseco,"2087,30",https://cafef.vn/du-lieu//upcom/TAL-ctcp-dau-tu-bat-dong-san-taseco.chn,Bất động sản - Xây dựng,Private,669336886,"7546,77",1721049617,True,True
63,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT AN GIANG,"2048,90",https://cafef.vn/du-lieu//otc/XSAG-cong-ty-tnhh-mtv-xo-so-kien-thiet-an-giang.chn,Xổ số,SOE,,,0,False,False
64,CÔNG TY TNHH NHÀ NƯỚC MTV XỔ SỐ KIẾN THIẾT CẦN THƠ,"2044,40",https://cafef.vn/du-lieu//otc/XSCT-cong-ty-tnhh-nha-nuoc-mtv-xo-so-kien-thiet-can-tho.chn,Xổ số,SOE,,,0,False,False
65,Công ty TNHH MTV Xổ Số Kiến Thiết Bến Tre,"2036,20",https://cafef.vn/du-lieu//otc/XSBENTRE-cong-ty-tnhh-mtv-xo-so-kien-thiet-ben-tre.chn,Xổ số,SOE,,,0,False,False
66,Công ty TNHH MTV Xổ số kiến thiết Lâm Đồng,"2019,78",https://cafef.vn/du-lieu//otc/XSLD-cong-ty-tnhh-mtv-xo-so-kien-thiet-lam-dong.chn,Xổ số,SOE,,,0,False,False
